year,month,Close
2010,1,1682.1575
2010,2,1598.9563157894736
2010,3,1665.5040909090908
2010,4,1730.286818181818
2010,5,1648.3
2010,6,1691.9371428571428
2010,7,1731.1227272727272
2010,8,1762.1836363636364
2010,9,1815.7494736842104
2010,10,1889.6971428571428
2010,11,1924.7072727272725
2010,12,2002.5040909090908
2011,1,2091.6099999999997
2011,2,2002.8694117647058
2011,3,2002.669090909091
2011,4,2153.132380952381
2011,5,2121.8720000000003
2011,6,2074.6438095238095
2011,7,2150.0561904761903
2011,8,1869.4077272727272
2011,9,1790.9495
2011,10,1825.878
2011,11,1858.7954545454545
2011,12,1863.23
2012,1,1891.0115
2012,2,2003.2314285714285
2012,3,2023.407142857143
2012,4,1995.9195
2012,5,1886.3509523809525
2012,6,1848.5994999999998
2012,7,1826.75
2012,8,1918.9122727272727
2012,9,1961.289
2012,10,1942.1938095238095
2012,11,1904.703181818182
2012,12,1973.8416666666667
2013,1,1986.1031818181816
2013,2,1979.8547368421052
2013,3,1990.243
2013,4,1938.8840909090907
2013,5,1974.4538095238095
2013,6,1884.4126315789472
2013,7,1871.7682608695652
2013,8,1896.9619047619046
2013,9,1984.3944444444444
2013,10,2029.675238095238
2013,11,2009.9242857142858
2013,12,1989.4295238095237
2014,1,1948.2195
2014,2,1937.7329999999997
2014,3,1952.4295238095237
2014,4,1991.1913636363636
2014,5,1994.1347368421052
2014,6,1995.0836842105261
2014,7,2021.9521739130435
2014,8,2060.9335
2014,9,2042.7105263157894
2014,10,1942.8028571428572
2014,11,1959.6470000000002
2014,12,1941.9257142857143
2015,1,1920.992857142857
2015,2,1961.001176470588
2015,3,2012.619090909091
2015,4,2107.268181818182
2015,5,2114.898888888889
2015,6,2063.685909090909
2015,7,2058.034347826087
2015,8,1952.5490000000002
2015,9,1939.5825
2015,10,2020.567142857143
2015,11,2006.7809523809524
2015,12,1971.5285714285715
2016,1,1894.6509999999998
2016,2,1900.6100000000001
2016,3,1976.5027272727273
2016,4,1996.1705000000002
2016,5,1966.6755
2016,6,1977.0295238095239
2016,7,2002.482857142857
2016,8,2036.6563636363637
2016,9,2042.5552631578948
2016,10,2036.0325
2016,11,1981.7463636363636
2016,12,2021.6666666666667
2017,1,2061.7335
2017,2,2082.795
2017,3,2136.1745454545453
2017,4,2160.1825
2017,5,2301.8900000000003
2017,6,2372.2042857142856
2017,7,2412.8990476190475
2017,8,2372.1845454545455
2017,9,2371.84380952381
2017,10,2482.87125
2017,11,2533.51
2017,12,2467.7257894736845
2018,1,2520.937727272727
2018,2,2439.104444444444
2018,3,2451.57
2018,4,2458.224761904762
2018,5,2461.3005000000003
2018,6,2394.507894736842
2018,7,2284.2536363636364
2018,8,2283.7968181818183
2018,9,2307.3258823529413
2018,10,2153.476666666667
2018,11,2083.333181818182
2018,12,2070.128947368421
2019,1,2101.984090909091
2019,2,2210.1988235294116
2019,3,2161.9145
2019,4,2212.120454545455
2019,5,2086.8980952380953
2019,6,2105.303157894737
2019,7,2079.48
2019,8,1944.2376190476189
2019,9,2045.2052631578947
2019,10,2065.747619047619
2019,11,2128.794761904762
2019,12,2147.0135
2020,1,2203.4425
2020,2,2167.1235
2020,3,1786.7463636363636
2020,4,1849.589
2020,5,1965.1742105263156
2020,6,2134.6968181818183
2020,7,2195.9486956521737
2020,8,2349.873
2020,9,2371.5161904761903
2020,10,2357.821052631579
2020,11,2504.1809523809525
2020,12,2755.7709523809526
2021,1,3089.267
2021,2,3092.411666666667
2021,3,3032.4690909090914
2021,4,3165.083181818182
2021,5,3169.2005263157894
2021,6,3259.14
2021,7,3254.5731818181816
2021,8,3182.5009523809526
2021,9,3141.6994736842107
2021,10,2989.873157894737
2021,11,2964.3018181818184
2021,12,2988.4940909090906
2022,1,2865.552
2022,2,2724.0150000000003
2022,3,2698.7161904761906
2022,4,2703.2428571428572
2022,5,2628.3385714285714
