시점,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자
시점,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2020-7,1138,237,83,54,69,29,41,25,6,302,33,27,44,21,26,64,69,9,642,113,45,26,35,15,21,16,3,187,18,18,26,13,14,40,48,5,496,124,38,28,34,14,20,9,3,114,15,9,19,8,12,24,21,4
2020-8,864,176,64,39,59,23,28,18,5,245,19,27,26,16,13,46,56,6,484,82,39,22,34,11,14,12,2,139,10,17,12,12,6,31,39,3,381,94,25,17,25,12,14,7,3,106,9,10,13,4,6,16,17,3
2020-9,1000,220,62,38,72,28,29,20,5,268,23,30,38,20,15,47,76,9,587,122,34,20,48,17,18,12,2,158,11,21,21,13,8,27,52,5,413,98,27,17,25,12,11,7,3,111,13,10,18,7,7,20,24,4
2020-10,1028,242,59,49,72,31,22,21,3,276,22,30,33,22,13,51,73,8,605,127,37,29,43,18,13,12,2,169,10,20,18,14,7,29,52,5,423,114,22,20,29,14,9,10,1,107,13,10,15,7,6,22,22,3
2020-11,967,222,55,42,70,34,28,19,2,265,16,24,40,14,17,50,64,6,540,108,32,24,42,19,16,12,2,148,6,13,26,7,10,32,41,3,427,114,23,19,28,15,11,8,0,117,11,10,13,7,7,18,23,3
2020-12,1135,239,68,47,86,30,29,26,4,274,56,26,40,34,31,57,80,9,594,130,34,26,46,15,18,16,3,153,20,14,23,12,15,33,35,3,542,109,33,21,40,15,12,10,2,122,36,12,17,23,16,24,46,6
2021-1,1570,341,98,70,99,50,54,35,6,364,67,36,47,40,52,85,105,20,789,170,50,37,56,23,22,17,3,198,24,20,26,16,25,49,46,8,781,171,48,33,44,27,31,18,3,167,44,16,21,24,28,36,59,12
2021-2,1353,341,70,63,79,34,37,26,6,321,49,33,45,22,31,77,103,15,739,165,38,37,48,18,20,17,3,181,21,18,28,10,17,52,60,8,614,176,33,26,31,17,17,10,3,140,28,16,17,12,13,25,43,7
2021-3,1215,288,63,59,85,26,32,24,6,325,24,25,36,19,28,69,96,12,682,151,30,34,49,15,18,15,3,181,13,16,25,9,15,47,56,6,534,138,33,25,36,11,14,9,3,144,10,9,11,10,13,23,39,6
2021-4,1147,268,64,58,85,28,34,19,6,314,26,22,33,23,24,60,69,16,653,138,33,33,52,15,18,11,3,190,15,14,17,13,15,40,38,9,494,131,31,25,33,14,16,8,3,124,11,8,16,10,9,20,31,7
2021-5,1148,282,60,58,82,29,28,26,4,324,21,24,31,21,19,59,70,12,653,144,39,33,52,17,13,16,1,180,13,15,21,12,13,37,41,6,495,138,20,25,30,12,15,10,2,144,9,9,10,9,6,22,29,6
2021-6,1093,281,57,50,71,29,22,19,3,305,24,23,39,22,20,45,70,13,613,141,37,27,43,18,15,10,2,165,14,11,26,13,14,29,41,7,479,140,20,23,28,11,8,8,1,140,10,12,13,9,6,16,29,6
2021-7,920,239,54,44,67,27,18,17,4,234,22,25,24,19,18,36,59,14,537,129,33,24,45,15,11,11,2,131,11,15,13,12,11,24,43,8,383,110,22,19,22,12,7,6,3,103,11,10,10,8,7,12,17,7
2021-8,744,210,39,36,46,19,15,13,2,201,19,16,14,16,13,21,56,7,437,116,23,23,31,10,9,8,1,111,11,9,7,10,9,16,40,3,307,94,16,13,16,10,6,5,1,90,9,7,7,6,4,5,16,4
2021-9,756,192,43,32,42,18,18,16,3,236,18,15,10,14,14,21,56,9,447,109,30,19,26,11,9,10,1,130,12,9,7,9,10,15,37,4,309,84,13,13,16,8,9,7,2,107,6,6,3,5,4,6,18,5
2021-10,788,224,44,28,41,18,21,17,2,218,24,17,19,15,12,25,56,7,457,133,28,16,24,10,12,12,1,113,15,11,12,11,8,16,32,4,331,91,17,12,17,7,9,6,1,105,9,6,6,4,4,9,24,4
2021-11,734,219,42,27,30,19,21,14,2,207,16,17,15,10,12,24,53,7,416,123,21,16,17,14,12,8,1,110,9,12,9,7,6,14,35,3,317,95,21,11,13,5,9,6,1,97,7,4,7,3,6,10,18,5
2021-12,979,201,59,43,63,34,22,23,3,217,53,21,20,37,40,41,87,17,493,118,31,19,28,14,13,9,2,112,21,12,11,14,16,20,48,6,486,84,28,24,35,19,10,14,1,105,32,9,9,23,24,20,39,11
2022-1,1143,250,75,49,80,32,33,24,5,246,49,34,33,36,38,61,87,13,559,121,41,19,38,14,18,11,2,119,19,20,17,15,17,31,49,6,585,130,33,29,42,18,15,13,2,127,30,14,16,20,21,30,38,7
2022-2,954,230,53,41,57,29,27,23,5,229,33,31,34,25,23,48,55,9,512,133,29,16,32,15,15,13,2,109,15,19,20,14,11,29,35,5,442,97,24,25,26,14,12,10,3,120,18,12,15,11,13,19,20,5
2022-3,873,218,45,35,50,28,22,19,5,201,32,24,36,24,28,38,60,8,474,127,22,18,31,16,12,10,3,100,16,14,19,15,14,19,34,6,399,91,23,18,19,12,10,9,2,101,16,11,17,10,15,19,27,2
2022-4,864,206,43,40,55,22,18,22,4,219,22,25,29,25,26,36,62,9,459,118,22,20,32,11,8,12,3,100,11,11,19,17,17,20,33,5,405,88,21,20,23,11,10,10,1,119,12,15,10,8,8,16,29,4
2022-5,889,186,51,44,64,21,18,21,5,247,20,28,36,23,17,34,67,8,479,107,31,22,37,11,9,11,4,122,9,16,22,13,11,23,30,5,411,80,20,23,28,10,10,9,1,125,12,12,14,10,6,11,37,3
